state_id,vendor_status_id,vendor_name,contact_name,job_title,work_phone,mobile,fax,vendor_email,vendor_cc_email,website,street_address_1,street_address_2,city,zip_code
34,2,Sharp Irons,Jana Layton,Sales Consultant,991-126-9664,336-455-1519,,JanaLayton@hotmail.com,,www.SharpIrons.com,9168 Gentle Autoroute,,Houston,55326
32,3,Marvel Manufactures,Amber Gouveia,Sales Consultant,312-541-6837,755-972-6770,,AmberGouveia@hotmail.com,,www.MarvelManufactures.com,3996 Grand Lane,,Baton Rouge,17592
33,3,Quorum Suppliers,Antoinette Hamby,Sales Consultant,779-555-2189,657-979-4917,,AntoinetteHamby@hotmail.com,,www.QuorumSuppliers.com,2304 Tawny Edge,,Norman,49336
34,3,Sprint Suppliers,Rey Aumann,Sales Consultant,835-392-3887,460-122-4410,,ReyAumann@hotmail.com,,www.SprintSuppliers.com,2397 Indian Lagoon Range,,Fort Worth,55326
32,3,Velvet Manufactures,Rosana Mellinger,Sales Consultant,958-605-5002,823-773-1675,,RosanaMellinger@hotmail.com,,www.VelvetManufactures.com,1310 Quaking Swale,,New Orleans,12483
32,3,Expo Manufactures,Salena Sain,Sales Consultant,400-193-6018,786-684-5300,,SalenaSain@hotmail.com,,www.ExpoManufactures.com,8781 Round Wagon Dale,,Shreveport,88270
32,3,Mitra Suppliers,Eloisa Dudek,Sales Consultant,158-552-5724,576-321-8307,,EloisaDudek@hotmail.com,,www.MitraSuppliers.com,8760 Misty Cloud Thicket,,Lafayette,39186
34,1,Intuitive Irons,Mendy Mcinturff,Sales Consultant,552-174-7650,388-640-7711,,MendyMcinturff@hotmail.com,,www.IntuitiveIrons.com,3023 Quiet Parade,,Fort Worth,51116
34,3,Mag Manufactures,Elaine Cawthon,Sales Consultant,751-777-3014,325-761-4856,,ElaineCawthon@hotmail.com,,www.MagManufactures.com,3066 Colonial Townline,,Fort Worth,23463
33,2,Vapor Suppliers,Kayce Sine,Sales Consultant,985-461-1627,693-416-9441,,KayceSine@hotmail.com,,www.VaporSuppliers.com,9209 Dusty Bend,,Norman,50430
32,3,Renewal Suppliers,Clemente Castor,Sales Consultant,393-864-1764,855-264-5827,,ClementeCastor@hotmail.com,,www.RenewalSuppliers.com,7296 Honey Vista,,New Orleans,52920
32,3,Hip Suppliers,Todd Hempstead,Sales Consultant,502-184-3322,428-869-9328,,ToddHempstead@hotmail.com,,www.HipSuppliers.com,8828 Amber Fawn Ramp,,Shreveport,61141
34,3,Docs Suppliers,Madie Mangan,Sales Consultant,908-748-7956,798-280-7437,,MadieMangan@hotmail.com,,www.DocsSuppliers.com,1899 Stony Abbey,,San Antonio,48508
34,3,Absolute Suppliers,Nellie Cottingham,Sales Consultant,208-400-1472,294-634-7214,,NellieCottingham@hotmail.com,,www.AbsoluteSuppliers.com,1566 Cozy Acres,,Dallas,83336
34,3,Spike Suppliers,Lilli Cichon,Sales Consultant,726-353-7243,204-620-8242,,LilliCichon@hotmail.com,,www.SpikeSuppliers.com,7041 Little View Byway,,Dallas,42751
33,3,Sight Manufactures,Chaya Berwick,Sales Consultant,235-190-3314,389-633-4787,,ChayaBerwick@hotmail.com,,www.SightManufactures.com,6050 Wishing Creek Cape,,Oklahoma City,88517
32,2,Skills Manufactures,Rosa Brandon,Sales Consultant,627-770-9486,501-284-3899,,RosaBrandon@hotmail.com,,www.SkillsManufactures.com,4207 High Village,,Baton Rouge,37042
32,3,Centennial Manufactures,Gianna Wymore,Sales Consultant,444-126-9273,174-823-3922,,GiannaWymore@hotmail.com,,www.CentennialManufactures.com,6578 Lazy Highlands,,Shreveport,61579
32,3,Canvas Irons,Lavonda Bruhn,Sales Consultant,265-228-4664,220-167-6876,,LavondaBruhn@hotmail.com,,www.CanvasIrons.com,9869 Thunder River Park,,Lafayette,86346
32,3,Nature Irons,Priscila Toft,Sales Consultant,824-692-5730,535-395-0208,,PriscilaToft@hotmail.com,,www.NatureIrons.com,3626 Blue Spring Round,,Lafayette,68922
39,2,Promotions Irons,Fonda Padro,Sales Consultant,714-380-9279,569-791-8252,,FondaPadro@hotmail.com,,www.PromotionsIrons.com,4336 Rocky Hills Key,,Jackson,50430
29,3,Ascent Irons,Dinorah Connelly,Sales Consultant,280-629-1520,211-191-2406,,DinorahConnelly@hotmail.com,,www.AscentIrons.com,9680 Red Common,,Biloxi,68749
29,1,Care Suppliers,Victor Zellmer,Sales Consultant,943-467-8287,785-717-3228,,VictorZellmer@hotmail.com,,www.CareSuppliers.com,2446 Bright Inlet,,Gulfport,68922
30,3,Passion Suppliers,Scot Ivory,Sales Consultant,885-240-9210,763-436-8258,,ScotIvory@hotmail.com,,www.PassionSuppliers.com,7622 Golden Island,,New Orleans,30608
33,3,Sapient Suppliers,Eloise Haydon,Sales Consultant,468-399-6508,427-136-4257,,EloiseHaydon@hotmail.com,,www.SapientSuppliers.com,2417 Clear Grove Quay,,Oklahoma City,44695
